1058221:1	1058221:1				(i hang out, and live, in the neighborhood..) 
1058221:2	1058221:2				the food is decent.
1058221:3	1058221:3				however, it's the service that leaves a bad taste in my mouth.
1058221:4	1058221:4				i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.
1058221:5	1058221:5				i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.
1058221:6	1058221:6				well, i didn't find it there, and trust, i have told everyone i can think of about my experience. 
1058221:7	1058221:7				the last time i walked by it looked pretty empty. hmmm.
1062641:0	1062641:0				This place has got to be the best japanese restaurant in the new york area.
1062641:1	1062641:1				I had a great experience.
1062641:2	1062641:2				Food is great.
1062641:3	1062641:3				Service is top notch.
1062641:4	1062641:4				I have been going back again and again.
1064477:0	1064477:0				I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.
1064477:1	1064477:1				It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.
1064477:2	1064477:2				The sushi seemed pretty fresh and was adequately proportioned.
1064477:3	1064477:3				The rice to fish ration was also good--they didn't try to overpack the rice.
1064477:4	1064477:4				We took advanatage of the half price sushi deal on saturday so it was well worth it.
1074868:0	1074868:0				I went to this restaurant with a woman that I met recently.
1074868:1	1074868:1				She lives nearby but had never gone to this establishment thinking that it might be too touristy.
1074868:2	1074868:2				Surprisingly nothing could be further from the truth.
1074868:3	1074868:3				In the evening, this place attracted a well dressed, with it, NY crowd.
1074868:4	1074868:4				The food was well prepared and the service impecable.
1074868:5	1074868:5				I'm going back.
1084394:0	1084394:0				Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.
1084394:1	1084394:1				Quite simply it's like stepping out of Manhattan and into a haven of tranquility.
1084394:2	1084394:2				The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.
1084394:3	1084394:3				The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
1084394:4	1084394:4				I will be going back and heartily recommend it!
1086415:0	1086415:0				I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.
1086415:1	1086415:1				It is terrific, as is the value.
1086415:2	1086415:2				$6 and there is much tasty food, all of it fresh and continually refilled.
1086415:3	1086415:3				I am not a vegetarian but, almost all the dishes were great.
1086415:4	1086415:4				Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.
1086415:5	1086415:5				Go hungry and enjoy.
1086478:0	1086478:0				The food here is rather good, but only if you like to wait for it.
1086478:1	1086478:1				I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.
1086478:2	1086478:2				The service varys from day to day- sometimes they're very nice, and sometimes not.
1086478:3	1086478:3				The kitchen however, is almost always slow.
1086478:4	1086478:4				Also, specify if you like your food spicy- its rather bland if you don't.
1086478:5	1086478:5				The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.
1090587:0	1090587:0				Just went here for my girlfriends 23rd bday.
1090587:1	1090587:1				If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.
1090587:2	1090587:2				Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
1090587:3	1090587:3				The lava cake dessert was incredible and I recommend it.
1102681:0	1102681:0				Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.
1102681:1	1102681:1				This tiny restaurant is as cozy as it gets, with that certain Parisian flair.
1102681:2	1102681:2				The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.
1102681:3	1102681:3				However, go for the ambience, and consider the food just a companion for a trip across the world!
1118167:0	1118167:0				I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.
1118167:1	1118167:1				IT WAS HORRIBLE.
1118167:2	1118167:2				The pizza was delivered cold and the cheese wasn't even fully melted!
1118167:3	1118167:3				It looked like shredded cheese partly done - still in strips.
1118167:4	1118167:4				I have eaten at many pizza places around NYC and this is hands down the worst.
1119578:0	1119578:0				This has got to be one of the most overrated restaurants in Brooklyn.
1119578:1	1119578:1				The pizza is overpriced and soggy.
1119578:2	1119578:2				Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.
1119578:3	1119578:3				A big disappointment, all around.
1123262:0	1123262:0				I think I've had some the best meals of my life at minnow.
1123262:1	1123262:1				The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.
1123262:2	1123262:2				The combination of super-fresh ingredients in the dishes are unusual but really delicious.
1123262:3	1123262:3				Worth the trip from Manhattan.
1125006:0	1125006:0				Was there Friday night.
1125006:1	1125006:1				Best Pastrami I ever had and great portion without being ridiculous.
1125006:2	1125006:2				And I've been to many NYC delis.
1125006:3	1125006:3				My wife had the fried shrimp which are huge and loved it.
1125006:4	1125006:4				Price no more than a Jersey deli but way better.
1125284:0	1125284:0				As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.
1125284:1	1125284:1				This place is the most Japanese it can ever get.
1125284:2	1125284:2				The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.
1125284:3	1125284:3				This place is worth an one-hour drive.
1125284:4	1125284:4				I am so coming back here again, as much as I can.
1126814:0	1126814:0				Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.
1126814:1	1126814:1				My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.
1126814:2	1126814:2				Sit outside in the warm weather; inside for cozy winter.
1126814:3	1126814:3				Decent wine at reasonable prices.
1126814:4	1126814:4				Have been dozens of times and never failed to enjoy the experience.
1126814:5	1126814:5				Our teenage kids love it, too.
1126886:0	1126886:0				Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.
1126886:1	1126886:1				This is by far my favorite place in the neighborhood.
1126886:2	1126886:2				The service is excellent, the decor is great, and the food is delicious and comes in large portions.
1126886:3	1126886:3				You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.
1126886:4	1126886:4				I'm partial to the Gnocchi.
1131595:0	1131595:0				This place is incredibly tiny.
1131595:1	1131595:1				They refuse to seat parties of 3 or more on weekends.
1131595:2	1131595:2				The hostess is rude to the point of being offensive.
1131595:3	1131595:3				The food was bland oily.
1131595:4	1131595:4				I just don't understand all the hype...
1138996:0	1138996:0				We went to Ino for Valentines.
1138996:1	1138996:1				We have been to this place many times, and always have great food, wine, and service.
1138996:2	1138996:2				We were worried we would have trouble getting in, but somehow managed to have a short wait.
1138996:3	1138996:3				As always we had a great glass of wine while we waited.
1138996:4	1138996:4				When we sat, we got great and fast service.
1138996:5	1138996:5				The people that work there are always so friendly you forget you are in New York sometimes.
1138996:6	1138996:6				Make sure you try this place as often as you can.
1145510:0	1145510:0				This is a fun restaurant to go to.
1145510:1	1145510:1				The pizza is yummy and I like the atmoshpere.
1145510:2	1145510:2				But the pizza is way to expensive.
1145510:3	1145510:3				A large is $20, and toppings are about $3 each.
1147082:0	1147082:0				I went there for lunch and it was not as good as I expected from the reviews I read.
1147082:1	1147082:1				Sauce was watery and the food didn't have much flavor.
1147082:2	1147082:2				If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.
1147082:3	1147082:3				I don't think I would go again.
1147211:0	1147211:0				This place is great.
1147211:1	1147211:1				I had a huge group for my birthday and we were well taken care of.
1147211:2	1147211:2				The waitress was very patient with us and the food is phenomenal!
1147211:3	1147211:3				Service was prompt, friendly and great.
1147211:4	1147211:4				Slightly on the pricey side but worth it!
1153034:0	1153034:0				Great pizza and fantastic service.
1153034:1	1153034:1				There was a small wait, but shorter than I expected.
1153034:2	1153034:2				Located at the end of a magnificent block.
1153034:3	1153034:3				Very cozy and warm inside.....
1153034:4	1153034:4				I will be back!
1154550:0	1154550:0				This is the best sushi in new york city - hands down.
1154550:1	1154550:1				The place is small and cramped but the food is fantastic.
1154550:2	1154550:2				Get the tuna of gari.
1154550:3	1154550:3				The one on the east side is much better than the one on the west side.
1162037:0	1162037:0				Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .
1162037:1	1162037:1				With the great variety on the menu , I eat here often and never get bored .
1162037:2	1162037:2				The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .
1162037:3	1162037:3				It's all about the food !!
1167434:0	1167434:0				I went there with my friend last saturday.
1167434:1	1167434:1				first it took us a long time to find the place.
1167434:2	1167434:2				we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.
1167434:3	1167434:3				but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.
1167434:4	1167434:4				then we ordered a dinosaur rolls and white tuna sashimi.
1167434:5	1167434:5				those rolls were big, but not good and sashimi wasn't fresh.
1167434:6	1167434:6				they were dry and disgusting, i didn't even finish my first piece.
1175958:0	1175958:0				Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.
1175958:1	1175958:1				Try the crunchy tuna, it is to die for.
1175958:2	1175958:2				Try everything for that matter, it is all good.
1175958:3	1175958:3				I have been going there since it opened and I can't get enough.
1189674:0	1189674:0				First went here to enjoy their garden terrace.
1189674:1	1189674:1				The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.
1189674:2	1189674:2				The Steak Tartare is a great bet, they fix it for you at the table.
1189674:3	1189674:3				Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.
1189674:4	1189674:4				Great wine selection, Gigondas is worth the price, and the house champagne is a great value.
1189674:5	1189674:5				It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.
1189674:6	1189674:6				Have recommended the place to friends, always gets good response.
1199292:0	1199292:0				Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!
1199292:1	1199292:1				Veal Parmigana - Better than Patsy's!
1199292:2	1199292:2				Much more reasonably priced too!
1199292:3	1199292:3				I take all my NYC guests to VT's.
1199480:0	1199480:0				Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!
1199480:1	1199480:1				I've been there three times and have always had wonderful experiences.
1199480:2	1199480:2				I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.
1205520:0	1205520:0				I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.
1205520:1	1205520:1				Even after they overcharged me the last time I was there.
1205520:2	1205520:2				Make sure you have the Spicy Scallop roll.. .
1205520:3	1205520:3				it's delicious!
1212346:0	1212346:0				Moules were excellent, lobster ravioli was VERY salty!
1212346:1	1212346:1				Took my mom for Mother's Day, and the maitre d' was pretty rude.
1212346:2	1212346:2				Told us to sit anywhere, and when we sat he said the table was reserved.
1212346:3	1212346:3				Stepped on my foot on the SECOND time he reached over me to adjust lighting.
1212346:4	1212346:4				Tiny dessert was $8.00...just plain overpriced for what it is.
1221938:0	1221938:0				The drinks are always welll made and wine selection is fairly priced.
1221938:1	1221938:1				Try their chef's specials-- they are to die for.
1221938:2	1221938:2				Service is not exactly five star, but thats not really a big deal.
1221938:3	1221938:3				Downstairs lounge is always a good attraction
1225162:0	1225162:0				Raga's is a romantic, cozy restaurant.
1225162:1	1225162:1				The exotic food is beautifully presented and is a delight in delicious combinations.
1225162:2	1225162:2				It is also extremely well priced.
1225162:3	1225162:3				The staff is incredibly helpful and attentive.
1225162:4	1225162:4				The bar is very well stocked with interesting beers and well priced wines.
1225162:5	1225162:5				This is one of my favorite restaurants and it is not to be missed.
1225162:6	1225162:6				Your friends will thank you for introducing them to this gem!
1227999:0	1227999:0				When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.
1227999:1	1227999:1				The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...
1227999:2	1227999:2				Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. 
1227999:3	1227999:3				Such a disappointment...
1227999:4	1227999:4				Rude service, medicore food...there are tons of restaurants in NY...stay away from this one
1230993:0	1230993:0				I had a grat time at Jekyll and Hyde!
1230993:1	1230993:1				I loved everythig about it-especially the shows and actors.
1230993:2	1230993:2				Our server was very helpful and friendly.
1230993:3	1230993:3				I am bringing my whole family back next time.
1230993:4	1230993:4				The food was good too.
1232468:0	1232468:0				The tuna and wasabe potatoes are excellent.
1232468:1	1232468:1				The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.
1232468:2	1232468:2				Inside is a little cramped, but to be expected.
1232468:3	1232468:3				Service was prompt and courteous.
1232468:4	1232468:4				This was a repeat visit and we'll definitely be back again.
1241906:0	1241906:0				Great service, great food.
1241906:1	1241906:1				Prices are in line.
1241906:2	1241906:2				Compared to other shabu restaurants around town, this places wins hands-down.
1241906:3	1241906:3				But too far east!
1253117:0	1253117:0				I live a block away and go to Patsy's frequently.
1253117:1	1253117:1				The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.
1253117:2	1253117:2				Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.
1253117:3	1253117:3				Also, because it is so thin, it gets cold very quickly and its not that filling.
1253117:4	1253117:4				So eat fast and order a lot.
1253117:5	1253117:5				Wait staff is blantently unappreciative of your business but its the best pie on the UWS!
1256373:0	1256373:0				By far the best salad I have had in a fast food restaurant.
1256373:1	1256373:1				fine dining restaurant quality.
1256373:2	1256373:2				Over 100 different choices to create your own.
1256373:3	1256373:3				A must try!
1264954:0	1264954:0				On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.
1264954:1	1264954:1				This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.
1264954:2	1264954:2				The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.
1264954:3	1264954:3				With so many poor experiences to be had in the theater district, is truly an excellent find!
1264954:4	1264954:4				We will return many times for this oasis in mid-town.
1269216:0	1269216:0				I grew up on these bagels.
1269216:1	1269216:1				The staff is no nonsense.
1269216:2	1269216:2				The food options rule.
1269216:3	1269216:3				When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.
1269216:4	1269216:4				Worth visiting the 1st Ave spot because it is the original store.
1275154:0	1275154:0				I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. 
1275154:1	1275154:1				Being serious sushi lovers, we sat at the sushi bar to be closer to the action.
1275154:2	1275154:2				I asked the chef what he recommends and he asked me if I like Uni. (
1275154:3	1275154:3				For those of you who don't know, Uni is Sea Urchin in Japanese, which happens to be my favorite.) 
1275154:4	1275154:4				He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!
1275154:5	1275154:5				Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.
1275154:6	1275154:6				The sake menu should not be overlooked!
1275154:7	1275154:7				All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.
1275154:8	1275154:8				Try the lobster teriyaki and the rose special roll.
1280166:0	1280166:0				We visited Orsay during NY Restaurant Week and tried their $35 menu.
1280166:1	1280166:1				Service was very good - prompt, attentive and non-intrusive.
1280166:2	1280166:2				Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).
1280166:3	1280166:3				Wine list selection is good and wine-by-the-glass was generously filled to the top.
1280166:4	1280166:4				Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.
1280179:0	1280179:0				I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.
1280179:1	1280179:1				To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. 
1280179:2	1280179:2				Seating is always prompt, though the restaurant does fill up in the evening.
1280179:3	1280179:3				Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.
1280179:4	1280179:4				As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.
1280179:5	1280179:5				The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.
1286916:0	1286916:0				I have NEVER been disappointed in the Red Eye.
1286916:1	1286916:1				The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.
1286916:2	1286916:2				I've never ordered anything else from their menu...there's no need to.
1286916:3	1286916:3				It's simply the best meal in NYC.
1286916:4	1286916:4				You cannot go wrong at the Red Eye Grill.
1287538:0	1287538:0				If we were to move from the upper east side, we would genuinely miss this restaurant.
1287538:1	1287538:1				We've lived in the area for more than 8 years.
1287538:2	1287538:2				The restaurant is cute but not upscale.
1287538:3	1287538:3				The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.
1287538:4	1287538:4				I would highly recommend it.
1287538:5	1287538:5				It's one of our favorite places to eat in NY.
1289424:0	1289424:0				We had a great time at the Jekyll and hyde Pub last night.
1289424:1	1289424:1				We were walking around the village and went into this place just for some drinks.
1289424:2	1289424:2				After really enjoying ourselves at the bar we sat down at a table and had dinner.
1289424:3	1289424:3				The server was really cool and served us our food and drinks with a smile.
1289424:4	1289424:4				The place's decor and hidden bathrooms made for a good laugh.
1289424:5	1289424:5				I highly recommend visiting this restaurant and having dinner and drinks!
1293334:0	1293334:0				If you are the type of person who likes being scared and entertained, this is a great place to go and eat.
1293334:1	1293334:1				My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.
1293334:2	1293334:2				The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.
1293334:3	1293334:3				The entertainment was great they have shows that go on through out the dinner.
1293334:4	1293334:4				Please take my advice, go and try this place.
1293334:5	1293334:5				Its located in greenewich village.
1293334:6	1293334:6				You will not be disapointed at all.
1297844:0	1297844:0				Our first time in New York and we had to try a New York Bagel.
1297844:1	1297844:1				We were not dissappointed in the least bit by this little gem.
1297844:2	1297844:2				The bagel was huge.
1297844:3	1297844:3				They were served warm and had a soft fluffy interior.
1297844:4	1297844:4				The workers there also absolutely load the bagel with cream cheese (gets a little messy).
1297844:5	1297844:5				I loved it and would HIGHLY RECOMMEND.
1300636:0	1300636:0				This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.
1300636:1	1300636:1				When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.
1300636:2	1300636:2				I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.
1300636:3	1300636:3				Other guests enjoyed pizza, santa fe chopped salad and fish and chips.
1300636:4	1300636:4				I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.
1303888:0	1303888:0				All the staff is absolutely professional!! 
1303888:1	1303888:1				I sometimes see the waiters don't have enough knowledge of their dishes.
1303888:2	1303888:2				But they do.
1303888:3	1303888:3				(that is A MUST, but not every restaurant can do...) 
1303888:4	1303888:4				If you want to dine with large party, I recommend to make reservation BASEMENT.
1303888:5	1303888:5				There's nice and quiet, small but enough for 6 (or more).
1303984:0	1303984:0				This restaurant was way overhyped.
1303984:1	1303984:1				My chow fun and chow see was really bland and oily.
1303984:2	1303984:2				Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.
1303984:3	1303984:3				The scallion pancakes and fried dumplings were nothing out of the ordinary.
1308557:0	1308557:0				The service was the only thing good about this restaurant.
1308557:1	1308557:1				It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.
1308557:2	1308557:2				I definitely wouldn't go back.
1310217:0	1310217:0				There are many Thai places in the city but so far Toons is #1.
1310217:1	1310217:1				Their pad penang is delicious and everything else is fantastic.
1310217:2	1310217:2				The price is reasonable although the service is poor.
1318537:0	1318537:0				fresh restaurant was amazing........ food was delicious and of course fresh.
1318537:1	1318537:1				great for a romantic evening, or a fun evening with friends...
1318537:2	1318537:2				I will be going back very soon.
1318537:3	1318537:3				keep up the good work.
1318537:4	1318537:4				Hats off to the chef.
1328078:0	1328078:0				I am not the most experienced person when it comes to Thai food, but my friend who took me there is.
1328078:1	1328078:1				He has visited Thailand and is quite expert on the cuisine.
1328078:2	1328078:2				It was wonderful.
1328078:3	1328078:3				the salads are delicious, both refreshing and very spicy.
1328078:4	1328078:4				We had Pam's special fried fish and it was amazing.
1328078:5	1328078:5				too large for just two people but nothing was left.
1328078:6	1328078:6				Unbelievable.
1335154:0	1335154:0				Had a late night dinner on a Saturday night.
1335154:1	1335154:1				Great vibe, lots of people.
1335154:2	1335154:2				My husband and I both ordered the Steak, medium.
1335154:3	1335154:3				My husbands was perfect, my was well done and dry.
1335154:4	1335154:4				I didn't complain, I liked the atmosphere so much.
1335154:5	1335154:5				Will give it another chance before I write it off.
1335656:0	1335656:0				Visited there while on vacation and reading the reviews.
1335656:1	1335656:1				On a hot day it was fabulous to stop in and enjoy lunch.
1335656:2	1335656:2				Ambience is so cute and quaint, good for business although we were there on vacation.
1335656:3	1335656:3				Salads were fantastic.
1335656:4	1335656:4				Although we were looking for regular lettuce and some walnuts the salads we got were great.
1335656:5	1335656:5				Ingredients are organic which is a real plus for me.
1335656:6	1335656:6				We will be back.
1338124:0	1338124:0				This is some really good, inexpensive sushi.
1338124:1	1338124:1				It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.
1338124:2	1338124:2				The spicy Tuna roll is huge and probably the best that I've had at this price range.
1338124:3	1338124:3				The Yellowtail was particularly good as well.
1338124:4	1338124:4				I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.
1338124:5	1338124:5				In any event, this is a place I'll be sure to stop by again when I'm in this part of town.
1340075:0	1340075:0				Big Wong gets big Ups for a fine establishment.
1340075:1	1340075:1				They have it all -- great price, food, and service.
1340075:2	1340075:2				The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.
1340075:3	1340075:3				The food is prepared quickly and efficiently.
1340075:4	1340075:4				And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).
1340075:5	1340075:5				The takeout is great too since they give high quality tupperware as well.
1340075:6	1340075:6				This place is always very crowded and popular.
1341354:0	1341354:0				Went here on a friend's reccomendation.
1341354:1	1341354:1				Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.
1341354:2	1341354:2				We both opted for a pasta dish and they were served timely and fresh.
1341354:3	1341354:3				We concluded with tiramisu chocolate cake, both were delicious.
1341354:4	1341354:4				We'd go back again
1347423:0	1347423:0				I recently went to this restaurant with some co-workers for lunch and had an amazing time.
1347423:1	1347423:1				The staff was accomodating, the food was absolutely delicious and the place is lovely.
1347423:2	1347423:2				We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.
1347423:3	1347423:3				Yes, the prices are high, but I felt it was worth it.
1347423:4	1347423:4				We all felt it was worth it.
1349391:0	1349391:0				sometimes i get good food and ok service.
1349391:1	1349391:1				sometimes i get bad food and bad service, sometimes i get good good and bad service.
1349391:2	1349391:2				it is not consistent.
1349391:3	1349391:3				really depends on your luck!
1352948:0	1352948:0				The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.
1352948:1	1352948:1				And where does Patis go wrong; no where. 
1352948:2	1352948:2				You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.
1352948:3	1352948:3				And evaluated on those terms Pastis is simply wonderful.
1353599:0	1353599:0				Right off the L in Brooklyn this is a nice cozy place with good pizza.
1353599:1	1353599:1				Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
1353599:2	1353599:2				My friend got the mushroom pizza which tasted better.
1353599:3	1353599:3				The sangria was pretty tasty and good on a hot muggy day.
1353599:4	1353599:4				Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.
1353599:5	1353599:5				Overall I would recommend it and go back again.
1353599:6	1353599:6				Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge (although they have more funky toppings!)
1357554:0	1357554:0				I started out with a Bombay beer which was big enough for two.
1357554:1	1357554:1				For dinner I had the chicken tikka-masala and some garlic naan.
1357554:2	1357554:2				MMmmm... it was delicious.
1357554:3	1357554:3				Service was slow, but the people were friendly.
1357554:4	1357554:4				It's a nice place to relax and have conversation.
1357554:5	1357554:5				I can't wait to go back.
1367358:0	1367358:0				We have lived in Chelsea for two years and have never noticed this restaurant.
